No.,Label,x(km),Average,Minimum,Maximum
0,                         ,28.76,27.98,25.19,30.39
0,                         ,28.51,27.99,25.21,30.38
0,                         ,28.26,27.99,25.23,30.36
0,                         ,28.02,28.00,25.25,30.34
0,                         ,27.77,28.00,25.28,30.32
0,                         ,27.52,28.01,25.30,30.29
0,                         ,27.28,28.01,25.32,30.27
0,                         ,27.03,28.02,25.34,30.25
0,                         ,26.78,28.02,25.36,30.23
0,                         ,26.54,28.03,25.38,30.21
0,                         ,26.29,28.03,25.40,30.19
0,                         ,26.04,28.04,25.42,30.18
0,                         ,25.80,28.04,25.43,30.16
0,                         ,25.55,28.05,25.45,30.15
0,                         ,25.30,28.05,25.46,30.10
0,                         ,25.04,28.05,25.46,30.06
0,                         ,24.78,28.06,25.45,30.06
0,                         ,24.53,28.06,25.43,30.08
0,                         ,24.27,28.06,25.41,30.10
0,                         ,24.01,28.06,25.37,30.12
0,                         ,23.75,28.06,25.33,30.15
0,                         ,23.50,28.06,25.29,30.18
0,                         ,23.24,28.06,25.25,30.23
0,                         ,22.98,28.06,25.22,30.28
0,                         ,22.73,28.06,25.20,30.32
0,                         ,22.48,28.06,25.20,30.35
0,                         ,22.23,28.06,25.20,30.39
0,                         ,21.98,28.07,25.21,30.42
0,                         ,21.73,28.07,25.23,30.44
0,                         ,21.48,28.07,25.25,30.47
0,                         ,21.23,28.07,25.28,30.48
0,                         ,20.98,28.07,25.32,30.50
0,                         ,20.72,28.07,25.35,30.50
0,                         ,20.48,28.07,25.38,30.51
0,                         ,20.23,28.07,25.40,30.51
0,                         ,19.98,28.07,25.42,30.51
0,                         ,19.74,28.07,25.44,30.51
0,                         ,19.49,28.07,25.45,30.50
0,                         ,19.24,28.07,25.46,30.50
0,                         ,19.00,28.07,25.47,30.49
0,                         ,18.75,28.07,25.47,30.48
0,                         ,18.50,28.07,25.48,30.48
0,                         ,18.26,28.07,25.48,30.47
0,                         ,18.01,28.08,25.48,30.46
0,                         ,17.77,28.08,25.49,30.45
0,                         ,17.52,28.08,25.49,30.44
0,                         ,17.27,28.08,25.50,30.43
0,                         ,17.03,28.08,25.51,30.42
0,                         ,16.78,28.08,25.52,30.41
0,                         ,16.53,28.08,25.53,30.40
0,                         ,16.27,28.08,25.53,30.39
0,                         ,16.02,28.08,25.54,30.38
0,                         ,15.76,28.08,25.55,30.36
0,                         ,15.51,28.04,25.50,30.33
0,                         ,15.26,28.04,25.51,30.31
0,                         ,15.01,28.03,25.52,30.26
0,                         ,14.77,28.03,25.57,30.21
0,                         ,14.52,28.04,25.63,30.14
0,                         ,14.28,28.04,25.70,30.06
0,                         ,14.04,28.05,25.79,29.97
0,                         ,13.80,28.05,25.89,29.87
0,  Dayton impoundment     ,13.56,28.06,26.00,29.77
0,  Dayton impoundment     ,13.31,28.06,26.11,29.67
0,  Dayton impoundment     ,13.07,28.07,26.24,29.57
0,  Dayton impoundment     ,12.82,28.07,26.36,29.47
0,  Dayton impoundment     ,12.58,28.08,26.49,29.37
